A-bomb Atombombe
abstract Abriss
abstractedness Zerstreutheit
abstraction Abziehung
abstruseness Verworrenheit
absurdism Unsinn
absurdities Absurditaeten
absurdity Absurditaet
absurdness Sinnwidrigkeit
absurdnesses Sinnlosigkeiten
abundance Ueberfluss
abuse Missbrauch
abusiveness Missbrauch
abusivenesses Missbraeuche
abutment Balkenkopf
abutter Anlieger
abysm Abgrund
abysms Abgruende
abyss Abgrund
abysses Abgruende
academics Akademiker
academies Akademien
academy Akademie
acanthi Laubverzierungen
acanthus Laubverzierung
accedence Beitritt
acceleration Beschleunigung
accelerator Beschleuniger
accent Akzent
accents Akzente
accentuation Betonung
acceptabilities Eignungen
acceptability Annehmbarkeit
acceptableness Annehmlichkeit
acceptance Annahme
acceptation Sinn
accepter Abnehmer
acceptor Empfaenger
access Zugang
accessibility Zugaenglichkeit
accessibleness Erreichbarkeit
accession Zuwachs
accessories Zubehoer
accessory Zusatz
accident Unfall
accidents Unfaelle
acclaim Beifall
acclamation Beifall
acclimatization Akklimatisierung
acclivities Steigungen
acclivity Steigung
accocation Verwaltung
accolade Lob
accommodation Versorgung
accommodativeness Bequemlichkeit
accomodation Anpassung
accomodations Anpassungen
accompaniment Begleitung
accompanist Begleiter
accomplice Komplize
accomplices Komplizen
accomplishment Ausfuehrung
accord Uebereinstimmung
accordance Zustimmung
accordances Uebereinstimmungen
accordion Akkordeon
accordions Ziehharmonikas
accords Zusammenklaenge
account Bericht
accountability Verantwortlichkeit
accountableness Verantwortlichkeit
accountancies Buchhaltungen
accountancy Buchhaltung
accountant Buchhalter
accounter Buecherrevisor
accounting Abrechnung
accounts Konten
accouterment Ausstaffierung
accoutrement Ausstattung
accretion Wachstum
accrual Anspruch
accruement Entstehung
accruements Entstehungen
accuracy Genauigkeit
accurateness Sorgfalt
accursedness Verfluechtigung
accusal Anklage
accusation Anklage
accusations Anklagen
accusative Akkusativ
accusativeness Anklage
accused Angeklagter
accuser Anklaeger
accustoming Gewoehnung
ace As
acerbity Herbheit
aces Asse
acetate Acetat
acetone Aceton
acetylene Acetylen
ache Schmerzen
achievement Leistung
achievements Ausfuehrungen
achiness Schmerz
achinesses Schmerzen
acid Saeure
acidifier Saeurebildner
acidities Saeuregehalte
acidity Saeuregehalt
acidness Bissigkeit
acidosis Uebersaeuerung
acids Saeuren
acknowledge Vereinbarung
acknowledged Kenntnis
acknowledgement Anerkennung
acknowledgment Anerkennung
acme Hoehepunkt
acne Akne
acolyte Messdiener
acommodation Wohngelegenheit
aconite Eisenhut
acorn Eichel
acorns Eicheln
acoustic Akustik
acoustics Akustik
acquaintance Bekanntschaft
acquaintances Bekanntschaften
acquaintanceship Bekanntschaft
acquiescence Ergebung
acquirement Erlangung
acquisition Erwerb
acquisitions Errungenschaften
acquisitiveness Erwerbssinn
acquisitivenesses Erwerbssinne
acquittal Freispruch
acquittance Erfuellung
acquittances Tilgung
acre Morgen
acreage Flaeche
acridity Schaerfe
acridness Herbheit
acridnesses Herbheiten
acrimonies Schaerfen
acrimony Bitterkeit
acrobat Akrobat
acrobatics Akrobatik
acrobats Akrobaten
acronym Abkuerzungi
acrophobia Hoehenangst
acropolis Akropolis
acrylic Acryl
act Gesetz
actability Durchfuehrbarkeit
action Aktion
actions Taetigkeit
activates Aktivitaeten
activation Start
activeness Handlung
activism Aktivismus
activisms Aktivismus
activist Aktivist
activities Aktivitaeten
activity Taetigkeit
actor Schauspieler
actors Schauspieler
actress Schauspielerin
acts Apostelgeschichte
actualities Tatsachen
actuality Wirklichkeit
actualization Verwirklichung
actuary Versicherungsstatistiker
actuation Antrieb
actuator Ausloeser
acuities Sehschaerfen
acuity Sehschaerfe
acupuncture Akupunktur
acupunctures Akupunkturen
acuteness Feinheit
acutenesses Feinheiten
ad Inserat
adage Sprichwort
adagios Adagio
adaptability Anpassbarkeit
adaptation Anpassung
adaptations Anpassungen
adapter Adapter
adapters Adapter
adaption Anpassung
adaptiveness Anpassungsfaehigkeit
adaptivenesses Anpassungsfaehigkeiten
adaptor Anpassungsgeraet
add-on Erweiterung
addend Zusatz
addenda Nachtraege
addends Zusatz
addendum Anhang
adder Addierer
addict Suechtige
addiction Hang
addictiveness Hang
addicts Suechtigen
addition Zusatz
additions Additionen
additive Zusatzmittel
additives Zusaetze
address Rede
addressability Adressierbarkeit
addressee Empfaenger
addresses Adressen
addressing Adressieren
adenoids Wucherungen
adept Meister
adeptness Erfahrenheit
adepts Eingeweihten
adequacy Angemessenheit
adherence Festhalten
adherents Anhaenger
adherer Anhaenger
adhesion Einwilligung
adhesions Anhaftung
adhesive Klebstoff
adhesiveness Klebrigkeit
adhesives Klebstoffe
adiposeness Fettsucht
adiposity Fettsuechte
adjacence Umgebung
adjacencies Naehe
adjective Adjektiv
adjectives Eigenschaftwoerter
adjoint Adjunkte
adjournment Vertagung
adjournments Vertagungen
adjudication Entscheidung
adjudicator Schiedsrichter
adjunct Beifuegung
adjuncts Beigaben
adjurnment Aufschub
adjurnments Aufschuebe
adjustability Einstellbarkeit
adjuster Schadensachbearbeiter
adjustment Einstellung
administration Verwaltung
administrator Verwalter
administratorship Verwalteramt
administratrix Nachlassverwalterin
admirability Grossartigkeit
admirableness Trefflichkeit
admiral Admiral
admiration Bewunderung
admirer Verehrer
admissibility Zulaessigkeit
admissibillity Zulaessigkeit
admissibleness Zulaessigkeiten
admission Eintritt
admittance Eintritt
admittances Zulassungen
admixture Beimischung
admixtures Beimischungen
admonishment Verwarnung
admonition Ermahnung
admonitions Ermahnungen
ado Getue
adobe Lehmstein
adolescence Jugend
adolescent Jugendlicher
adoptabilities Annehmlichkeiten
adoptability Annehmlichkeit
adopter Adoptierende
adoption Adoption
adorability Anbetungswuerdigkeit
adorableness Anbetungswuerdigkeiten
adoration Verehrung
adorer Anbeter
adorner Dekorateur
adornment Zier
adrate Anzeigenpreis
adrienne Adriane
adroitness Gewandtheit
ads Werbungen
adsorbent Adsorbent
adsorption Adsorption
adulation Schmeichelei
adulator Schmeichler
adult Erwachsener
adulterant Verfaelschungsmittel
adulteration Faelschung
adulterator Verfaelscher
adulterators Verfaelscher
adulterer Ehebrecher
adulteress Ehebrecherin
adulteresses Ehebrecherinnen
adulteries Ehebrueche
adulterousness Ehebruch
adultery Ehebruch
adulthood Erwachsensein
adultness Erwachsene
adults Erwachsene
adumbration Andeutung
advance Erhoehung
advancement Foerderung
advancer Fortgeschrittene
advances Anmaersche
advantage Gewinn
advantages Vorteile
advent Beginn
adventure Abenteuer
adventurer Abenteurer
adventures Abenteuer
adventuress Abenteurerin
adventurousness Abenteuerlichkeit
adverb Adverb
adverbs Adverben
adversaries Gegner
adversary Gegner
adverseness Widrigkeit
adversities Missgeschicke
adversity Missgeschick
advert Zeitungsanzeige
advertence Hinweisen
advertencies Hinweisungen
advertency Hinweisung
advertisement Anzeige
advertisements Ankuendigungen
advertiser Anzeigenkunde
advertising Werbung
advertisment Propaganda
advice Rat
advisability Ratsamkeit
advisement Ueberlegung
adviser Berater
advisers Berater
advisories Gutachterkommissionen
advisory Gutachterkommission
advocacies Empfehlungen
advocacy Eintreten
advocate Anwalt
advocation Beteiligung
advocator Befuerworter
aeon Ewigkeit
aeration Lueftung
aerator Luefter
aerial Antenne
aerialist Luftakrobat
aerobatics Kunstflug
aerobic Aerobic
aerocab Lufttaxi
aerocabs Lufttaxen
aerodrome Flughafen
aerodynamics Aerodynamik
aerogram Luftpostleichtbrief
aerometer Senkwaage
aeronaut Luftfahrer
aeronauts Luftfahrer
aerosol Aerosol
aerostat Luftballon
aesthetic Aesthetik
aesthetics Aesthetik
affability Freundlichkeit
affableness Freundlichkeiten
affair Geschaeft
affairs Angelegenheiten
affectation Vorliebe
affectations Vorlieben
affectedness Befallenheit
affectionateness Zaertlichkeit
affiance Verlobung
affianced Verlobte
affiliation Zugehoerigkeit
affiliations Angliederungen
affinities Geistesverwandtschaften
affinity Neigung
affirmation Bejahung
affirmations Bekraeftigungen
affirmatives Bejahungen
affix Anhang
afflatus Inspiration
affliction Leid
affluence Reichtum
affreightment Befrachtungsvertrag
affront Beleidigung
Africa Afrika
after Hinter
afterbirth Nachgeburt
afterburner Nachbrenner
afterdeck Achterdeck
aftereffect Folgeerscheinung
afterglows Abendroete
afterheater Nacherwaermer
afterimages Nachbilder
aftermath Nachwehen
aftermathes Nachwirkungen
afternoon Nachmittag
aftertaste Nachgeschmack
agar Agar
agaric Blaetterpilz
agars Naehrboden
age Alter
age-limit Altersgrenze
agencies Agenturen
agency Agentur
agenda Tagesordnung
agent Vertreter
ages Zeitalter
agglomeration Anhaeufung
agglutination Klumpen
aggrandizement Vermehrung
aggravation Verschlimmerung
aggregate Summe
aggregation Gruppierung
aggression Angriff
aggressions Angriffe
aggressiveness Angriffslust
aggressor Angreifer
aggressors Angreifer
agility Lebendigkeit
aging Alterung
agio Agio
agiotage Devisenhandel
agitation Taetigkeit
agitations Taetigkeiten
agitator Anstifter
agitators Anstifter
agnostic Agnostiker
agonies Qualen
agoraphobia Platzangstf
agrarian Agrar
agreements Vereinbarungen
agribusiness Agraindustrief
agribusinesses Verarbeitungenf
agricultures Landwirtschaften
agriculturist Landwirt
agronomists Diplomlandwirte
agronomy Agrarwissenschaft
ague Schuettelfrost
aid Hilfe
aide Helfer
aids Beihilfen
aileron Querruder
ailment Leiden
aim Ziel
aimer Arrivist
aimlessness Planlosigkeit
aims Ziele
air Weise
air-mail Luftpost
air-pump Luftpumpe
airbrush Luftbuerste
airbrushes Luftbuersten
aircraft Flugzeug
aircrafts Flugzeuge
airdrome Flughafen
airfield Flugplatz
airfields Flugplaetze
airflow Luftfuehrung
airfoil Tragflaeche
airing Lueftung
airlessness Luftlosigkeit
airlift Luftbruecke
airlifts Luftbruecken
airline Fluggesellschaft
airliner Linienflugzeug
airlines Fluggesellschaften
airmail Luftpost
airman Flieger
airplane Flugzeug
airport Flughafen
airship Luftschiff
airships Luftschiffe
airsickness Flugkrankheit
airsicknesses Flugkrankheiten
airspace Luftraum
airstream Fahrtwind
airstrip Befehlslandeplatz
airtel Flughafenhotel
airway Wetterstrecke
airways Luftverkehrslinien
airworthiness Lufttuechtigkeit
aisle Seitenschiff
alacrity Eifer
alameda Promenade
alarm Sorge
alarmclock Wecker
alarmer Wecker
alarmism Panik
alarmist Panikmacher
alarms Alarme
album Album
albumen Eiweiss
albumin Eiweisse
alchemists Alchemisten
alcohol Alkohol
alcoholic Alkoholiker
alcohols Spirituosen
alcove Nische
alcoves Nischen
alder Erle
alderman Stadtrat
ale Bier
alehouse Bierschenke
alert Alarmruf
alertness Wachsamkeit
alertnesses Wachsamkeit
alerts Alarmbereitschaften
alewife Schankwirtin
algae Algen
algas Algen
algebra Algebra
algebras Buchstabenrechnugnen
algorithm Algorithmus
algorithms Algorithmen
alias Pseudonym
aliases Deckname
alibi Alibi
alienability Uebertragbarkeit
alienation Entfremdung
alienee Erwerber
alienist Irrenarzt
alienor Veraeusserer
aliens Fremden
alignment Einstellung
alikeness Gleichheit
aliment Nahrungsmittel
alimonies Alimente
alimony Unterhalt
alkalinities Alkalinitaeten
allegation Behauptung
allegations Behauptungen
allegiance Untertanentreue
alleluia Loblied
allergens Allergiestoffe
allergies Allergien
allergy Allergie
alleviation Linderung
alley Weg
allhallows Allerheiligen
alliance Buendnis
allies Verbuendeten
alligator Alligator
allocation Besetzung
allocator Verteiler
allotgarden Schrebergarten
allotment Anteil
allotments Schrebergaerten
allottee Bezugsberechtigter
allowableness Zulaessigkeit
allowance Zustimmung
allowanceadditional Zulage
alloy Legierung
alloys Metallegierungen
allurement Lockung
alluringness Reiz
allusion Anspielung
allusions Anspielungen
ally Verbuendete
almanac Jahrbuch
almond Mandel
alms Almosen
aloofly Ferne
aloofness Zurueckhaltung
alp Alm
alphabet Alphabet
alphabetization Alphabetisierung
alpine Alpin
alpinist Alpinist
alps Alpen
altar Altar
altarpiece Altarbild
altars Altare
alterability Veraenderlichkeit
alterableness Veraenderlichkeiten
alteration Aenderung
alterations Neuerungen
alterationtime Aenderungszeit
altercation Zank
alternation Wechsel
alternative Mehrfachmoeglichkeit
alternatives Alternativen
alternator Wechselstromgenerator
altimeter Hoehenmesser
alto-singer Altistin
alumina Tonerde
aluminium Aluminium
amoeba Amoebe
amah Kinderfrau
amalgam Amalgam
amalgamation Vereinigung
amaranth Fuchsschwanz
amaryllis Ritterstern
amateur Anfaenger
amateurishness Dilettantismus
amateurism Stuemperhaftigkeit
amazement Schrecken
Amazon Amazone
amber Bernstein
ambers Bernsteine
ambidexterity Beidhaendigkeit
ambience Atmosphaere
ambiences Milieus
ambient Aussen
ambiguities Zweideutigkeiten
ambiguity Doppelsinnigkeit
ambiguousness Zweideutigkeiten
ambit Geltungsbereich
ambition Ehrgeiz
ambitiousness Strebsamkeit
ambivalence Doppelwertigkeit
ambrosia Goetterspeise
ambrosias Goetterspeisen
ambulance Ambulanz
ambulatories Arkaden
ambulatory Arkade
ambush Hinterhalt
ambushes Hinterhalte
amelioration Verbesserung
ameliorations Verbesserungen
amenability Gefuegigkeit
amenableness Gefuegigkeiten
amend Gutmachung
amendment Verbesserung
amends Schadenersatz
amenities Annehmlichkeiten
amenity Anmut
America Amerikan
American Amerikaner
amiability Liebenswuerdigkeit
amiableness Guetigkeit
amicability Guete
amicableness Freundschaftlichkeit
amities Freundschaften
amity Freundschaft
ammeter Amperemeter
ammo Munition
ammonia Ammoniak
ammunition Munition
amnesia Amnesie
amok Amok
amorousness Verliebtheit
amorphousness Formlosigkeit
amortization Tilgung
amortizement Tilgung
amount Menge
amounts Betraege
amours Liebschaften
amperage Stromstaerke
ampleness Fuelle
amplification Erweiterung
amplifications Erweiterungen
amplifier Verstaerker
amplitudes Weiten
ampoule Ampulle
amputation Amputation
amulet Amulett
amusement Unterhaltung
amusements Unterhaltungen
amuser Unterhalter
anabaptist Wiedertaeufer
anachronism Anachronismus
anaemia Bleichsucht
anaesthesia Betaeubung
anaesthetization Betaeubung
anagram Buchstabenraetsel
analgesia Schmerzlosigkeit
anally After
analog Analogon
analog-to-digital Analogdigital
analogies Analogien
analogous Analoge
analogously Analoge
analogousness Gleichheit
analogue Gegenstueck
analogy Uebereinstimmung
analyser Messer
analyses Analysen
analysis Untersuchungen
analyst Organisator
analytics Analytik
analyzer Analysator
anarchies Anarchien
anarchist Anarchist
anarchists Anarchisten
anarchy Anarchie
anarctica Antarktis
anatomies Anatomien
anatomist Anatom
anatomy Anatomie
ancestor Ahne
ancestors Vorfahren
ancestory Abstammung
ancestress Ahnfrau
ancestresses Ahnfrauen
ancestries Abstammungen
ancestry Abstammung
anchor Anker
anchorage Ankergrund
anchorite Einsiedler
anchovies Sardellen
anchovy Sardelle
ancillary Neben
andiron Kaminbock
androgens Androgene
android Androide
anecdote Anekdote
anecdotist Anekdotenerzaehler
anecdotists Anekdotenerzaehler
anemia Anaemie
anemone Windroeschen
anemones Windroeschen
anesthesia Narkose
anesthesiologist Narkosenfacharzt
anesthesiology Narkosenfachlehre
anesthetic Betaeubungsmittel
anesthetist Narkosearzt
anesthetists Narkoseaerzte
anesthetization Betaeubung
angel Engel
angels Engel
anger Aerger
angle Winkel
angler Angler
angles Winkel
Anglo-Saxon Angelsachse
angriness Wut
anguish Qual
anguishes Aengste
angularity Winkligkeit
angularness Eckigkeit
animadversion Verweis
animal Tier
animalism Sinnlichkeit
animality Tiernatur
animals Tiere
animation Anregung
animosity Feindseligkeit
animus Feindseligkeit
anise Anis
aniseed Anissamen
ankle Fussknoechel
anklebone Sprungbein
ankles Knoechel
anklet Fussring
annalist Chronist
annelids Ringelwuermer
annex Anhang
annexation Aneignung
annexations Aneignungen
annihilation Vernichtung
annihilator Vernichter
anniversary Jubilaeum
annotation Anmerkung
annotator Kommentator
announcement Anmeldung
announcements Ankuendigungen
announcer Ansage
annoyance Belaestigung
annoyances Belaestigungen
annuitant Rentenempfaenger
annuities Jahresrenten
annuity Rente
annulment Aufhebung
annulments Aufhebungen
annulus Kranz
annunciation Verkuendigung
annunciations Verkuendigungen
annunciator Signalgeber
anode Anode
anointing Salbung
anomalies Anomalien
anomalousness Abnormitaet
anomalousnesses Abnormitaeten
anomaly Besonderheit
anomie Anomie
anonymities Anonymitaeten
anonymity Anonymitaet
anonymousness Unbekanntheit
anorak Anorak
answer Loesung
answerback Kennung
answers Erwiderungen
ant Ameise
antacid Magensaeuremittel
antagonism Gegensatz
antagonist Widersacher
antarctic Antarktis
anteater Ameisenbaer
antecedence Vorrang
antechamber Vorkammer
antelope Antilope
antenna Antenne
antennae Antennen
antennas Antennen
anthem Hymne
anther Staubbeutel
anthill Ameisenhaufen
anthologies Gedichtsammlungen
anthologist Herausgeber
anthology Gedichtsammlung
anthracite Glanzkohle
anthropologist Anthropologe
anthropology Anthropologie
anti-demonstration Gegendemonstration
anti-Semitism Antisemitismus
Anti-Semitism Judenhass
antiaircraft Fliegerabwehr
antibiotic Antibiotikum
antibiotics Antibiotika
antibodies Abwehrstoffe
antibody Abwehrstoff
antic Possen
anticipation Erwartung
anticlimax Gegensatz
anticlimaxes Gegensaetze
anticoincidence Antivalenz
antics Possen
antidote Gegengift
antidumping Dumpingverbotsgesetz
antifreeze Kaelteschutzmittel
antigen Abwehrstoff
antihero Antiheld
antilogarithm Antilogarithmus
antimatter Antimaterie
antimony Antimon
antipathies Abneigungen
antipathy Abneigung
antiperspirant Deo
antiphonies Wechselgesaenge
antiphony Wechselgesang
antipodes Antipoden
antipyretic Fiebermittel
antipyretics Fiebermittel
antiquarianism Liebhaberei
antiques Antiquitaeten
antiquities Antiquitaeten
antiquity Altertum
antis Gegner
antiseptics Antiseptika
antishock Stossdaempfer
antler Geweih
antquities Antiquitaeten
antra Hoehlen
antrum Hoehle
anus After
anvil Amboss
anxieties Aengste
anxiety Angst
anxiousness Aengstlichkeit
anxiousnesses Aengste
aorta Hauptschlagader
aortae Aorta
apartheid Rassentrennung
apartment Appartement
apartmentUS Wohnung
apartments Wohnungen
apathy Apathie
ape Affe
aperture Oeffnung
apertures Oeffnungen
apes Affen
apex Kegelspitze
aphid Blattlaus
aphorism Gedankensplitter
aphorist Aphoristiker
apiaries Bienenhaeuser
apiary Bienenhaus
aplomb Selbstbewusstsein
apocalypse Apokalypse
apocalypses Apokalypsen
apodosis Hintersatz
apogee Hoehepunkt
apologia Verteidigung
apologies Entschuldigungen
apologist Verteidiger
apology Entschuldigung
apoplexies Hirnschlaege
apoplexy Schlaganfall
aposta Abtruennigkeit
apostasy Abfall
apostate Abtruennige
apostle Apostel
apostrophe Apostroph
apothecaries Apotheker
appanage Teil
apparatus Ausruestung
apparatuses Geraete
apparel Kleidung
apparentness Offenbarung
apparentnesses Offenbarungen
apparition Erscheinung
apparitions Erscheinungen
appeal Wirkung
appearance Erscheinung
appearances Erscheinungen
appeasement Beschwichtigungspolitik
appellant Beschwerdefuehrer
appellate Rechtsmittel
appellation Bezeichnung
appellations Benennungen
appendage Anhang
appendages Anhang
appendectomies Blinddarmoperationen
appendectomy Blinddarmoperation
appendices Anhaenge
appendicitis Blinddarmentzuendung
appendix Ergaenzung
appendixes Anhaenge
appetencies Begierden
appetency Begierde
appetizer Aperitif
appetizers Appetitanreger
applauder Beifallspender
applause Beifall
apple Apfel
applejack Apfelschnaps
apples Aepfel
applesauce Apfelmus
appliance Geraet
appliances Vorrichtungen
applicability Eignung
applicableness Anwendbarkeit
applicant Bewerber
applicants Bewerber
application Anmeldung
applications Beifuegungen
applicator Applikator
applicators Applikatoren
appointee Beauftragte
appointer Berufer
appointive Anstellung
appointment Anordnung
appointments Bestimmungen
apportionment Verteilung
apposition Hinzufuegung
appraisal Bewertung
appraisals Schaetzungen
appraisement Schaetzung
appraiser Sachverstaendige
appreciation Aufwertung
appreciator Kenner
apprehensibility Furcht
apprehension Festnahme
apprehensiveness Besorgnis
apprehensivenesses Besorgnisse
apprentice Lehrling
apprentices Lehrlinge
apprenticeship Lehre
apprisement Benachrichtigung
approach Zugang
approachability Zugaenglichkeit
approaches Annaeherungen
approbation Zustimmung
approbations Zustimmungen
appropriation Aneignung
appropriations Besitznahmen
approval Genehmigung
approvals Billigungen
approvement Verbesserung
approver Billiger
approximation Annaeherung
appurtenance Zubehoer
apricot Aprikose
apricots Aprikosen
April April
apron Schuerze
aprons Schuerzen
aptness Neigung
aptnesses Geschicke
aqualung Tauchergeraet
aquamarine Aquamarin
aquanaut Taucher
aquaplane Gleitbrett
aquaria Aquarien
aquarium Aquarium
aquatic Wasser
aquatics Wassersport
aqueduct Aquaedukt
aqueducts Wasserleitungen
Arab Araber
Arabs Araber
arbalest Armbrust
arbiter Schiedsrichter
arbitrage Kursunterschied
arbitrariness Willkuer
arbitrarinesses Willkuer
arbitration Entscheidung
arbitrations Entscheidungen
arbitrator Schiedsrichter
arbor Dorn
arbors Achsen
arbour Gartenlaube
arbutus Erdbeerbaum
arc Bogen
arcade Bogengang
arch Bogen
archaism Archaismus
archangel Erzengel
archbishop Erzbischof
archbishopric Erzbistum
archbishoprics Erzbistuemer
archbishops Erzbischoefe
archdiocese Erzdioezese
archduchess Erzherzogin
archduchesses Erzherzoginnen
archduke Erzherzog
archenemies Erzfeinde
archenemy Erzfeind
archeologist Archaeologe
archeology Archaeologie
archer Bogenschuetze
archery Bogenschiessen
arches Gewoelbe
archetype Urform
archings Woelbungen
archipelago Inselgruppe
archipelagoes Inselgruppen
architect Architekt
architecture Architektur
archives Archiv
archivist Archivar
archness Durchtriebenheit
archway Bogengang
arclamp Bogenlampe
arclight Bogenlicht
arcs Boegen
arctic Arktis
ardencies Leidenschaften
ardency Hitze
ardor Begeisterung
ardour Begeisterung
arduousness Schwierigkeit
arduousnesses Schwierigkeiten
area Bereich
areas Flaechen
areaway Lichthof
areaways Lichthoefe
arena Arena
argent Silber
argot Slang
arguer Argumentierende
argument Diskussion
argumentation Schlussfolgerung
argumentativeness Streitlust
arguments Argumente
aria Arie
aridities Duerren
aridity Duerre
aristocracies Adlige
aristocracy Adel
aristocrat Aristokrat
aristophanes Aristophanes
arithmetic Arithmetik
arithmetician Arithmetiker
ark Arche
arm Arm
armada Armada
armadas Armadas
armadillo Guerteltier
armageddon Entscheidungskampf
armament Aufruestung
armaments Ruestungen
armature Laeufer
armchair Lehnstuhl
armchairs Lehnstuehle
armhole Armloch
armies Armeen
armistice Waffenstillstand
armlet Armbinde
armor Panzer
armorer Waffenmeister
armorial Wappenbuch
armories Waffenkammern
armory Waffenkammer
armour Panzer
armpit Achselhoehle
armpits Achselhoehlen
armrest Armlehne
arms Waffen
army Armee
aroma Aroma
arousal Erregung
arousals Erregungen
arraignment Anklageverlesung
arrangement Anlage
arrangements Zusammenstellungen
arranger Bearbeiter
arrases Wandbehaenge
array Bereich
arrays Reihen
arrearage Rueckstand
arrearages Rueckstaende
arrears Schulden
arrest Haft
arrester Blitzableiter
arrival Ankunft
arrogance Ueberheblichkeit
arrogances Ueberheblichkeiten
arrogancy Arroganz
arrogation Anmassung
arrow Pfeil
arrowhead Pfeilspitze
arson Brandstiftung
arsonist Brandstifter
arsonists Brandstifter
arsons Brandstiftungen
art Kunst
artefact Artefakt
arteries Arterien
arteriosclerosis Arterienverkalkung
artery Arterie
artfulness List
arthritis Arthritis
arthropod Gliederfuessler
artic Arktis
artichoke Artischocke
artichokes Artischocken
article Beitrag
articles Artikel
articulateness Klarheit
articulation Artikulation
artifact Werkzeug
artifacts Werkzeuge
artifice Kunstgriff
artificer Feuerwerker
artifices Vorrichtungen
artificiality Gekuensteltheit
artificialness Affektiertheit
artilleries Artillerien
artillery Artillerie
artilleryman Artillerist
artillerymen Artilleristen
artisan Handwerker
artist Kuenstler
artistries Kuenstlertuemer
artistry Kuenstlertum
artists Kuenstler
artlessness Arglosigkeit
arts Kuenste
artwork Vorlage
asbestos Asbest
ascendancies Einfluesse
ascendancy Einfluss
ascendence Domination
ascendences Dominationen
ascendency Aufstieg
ascendent Aszendent
ascendents Aszendenten
ascenders Oberlaengen
ascension Aufsteigen
ascent Aufstieg
ascents Aufstiege
ascertainment Ermittlung
ascertainments Ermittlungen
asceticism Askese
ascetics Asketen
ascription Zurueckfuehren
asexuality Geschlechtslosigkeit
ash Asche
ash-tray Aschenbecher
ashen Eschen
ashtray Aschenbecher
ashtrays Aschenbecher
Asia Asien
Asian Asiat
Asians Asiaten
aside Abseits
asininely Dummheit
asker Fragende
askers Fragenden
asp Natter
asparagus Spargel
aspect Seite
aspects Aspekte
aspen Espe
asperity Schaerfe
aspersions Verleumdungen
asphalt Asphalt
asphyxia Erstickungstod
asphyxiation Erstickung
asphyxiations Erstickungen
aspic Aspik
aspirant Kandidat
aspirants Kandidaten
aspiration Aufsaugung
aspirations Sehnsuechte
aspirator Saugapparat
aspirators Saugapparate
aspirin Aspirin
asps Nattern
aster Aster
asterisk Stern
asterisks Sterne
asterism Sterngruppe
asteroid Asteroid
asteroids Asteroiden
asters Astern
asthma Asthma
astigmatism Astigmatismus
astonishment Ueberraschung
astringence Strenge
astringences Strenge
astringencies Verstopfungen
astringency Verstopfung
astringents Adstringens
astrodome Kuppel
astrodomes Kuppeln
astrolabe Sternhoehenmesser
astrolabes Sternhoehenmesser
astrologer Astrologe
astrologers Astrologen
astrologies Sterndeutereien
astrology Astrologie
astronaut Astronauten
astronautics Raumfahrt
astronauts Astronauten
astronomer Astronom
astronomers Astronomen
astronomical Stern
astronomy Astronomie
astrophysicist Astrophysiker
astrophysicists Astrophysiker
astrophysics Astrophysik
astuteness Scharfsinn
asylum Heim
asylums Heime
asymmetries Ungleichmaessigkeiten
asymmetry Schiefe
asymptote Annaeherungslinie
asymptotes Asymptoten
atari Rechenschieber
atavism Rueckschlag
ataxias Ataxien
atheist Atheist
atheists Atheisten
